region,year,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder
Africa,2010,8.136065972478766,0.7494607277606663,54.07315776222631,0.7023992389440536,-0.04659657449289958,0.7951730485809477,0.6344094119573894,0.220391665634356,4.360387927607486
Africa,2011,8.14986336858649,0.7437796812308463,54.31157880080374,0.7047226891705864,-0.06747829480139586,0.7939788954038369,0.6257373690605164,0.23251619905625515,4.513352522724553
Africa,2012,8.176124729608235,0.7300941009531942,54.68842071399354,0.6632704543962813,-0.0530641810070384,0.7981971329110756,0.617580929346252,0.2431705159772383,4.384157654486205
Africa,2013,8.19493970118071,0.7245599454955051,55.074407544052384,0.6844719141198878,-0.050388054750663644,0.7885668632623396,0.6279521683851877,0.2622186564105121,4.229565271160059
Africa,2014,8.214173191472105,0.7321790473764402,55.47618435976798,0.6965039388129586,-0.04492362089487804,0.7676419879130104,0.6288489397419127,0.27516914933527764,4.29276081239968
Africa,2015,8.21426566860132,0.7041698249808529,55.88561396013226,0.7238633630045673,-0.03384372416532416,0.7910750546868432,0.6324631885478371,0.2864348872711784,4.364745122298859
Africa,2016,8.220351225451418,0.7152560382035741,56.25517540647272,0.7308322596445418,-0.027592599927039246,0.7897137964242383,0.6504138480675848,0.32608233065458764,4.3175067776127865
Africa,2017,8.241030885462175,0.6975285426566475,56.62282895205313,0.7263056844995732,-0.04193183556076531,0.7735295266958705,0.6347535848617554,0.34754422986716554,4.493236534428179
Africa,2018,8.258231614765368,0.7017663538455964,56.99078923275596,0.732236858731822,-0.027479310895317837,0.7768812965405615,0.6461308218930897,0.34805380702018734,4.580115392333583
Africa,2019,8.26714317422164,0.6967272581238495,57.35789503800241,0.7209999147214388,-0.016676661541293325,0.7660436578487095,0.6335098329343294,0.3437049234383984,4.5251948745627155
Africa,2020,8.238744315348173,0.6877988150245266,57.71644718772487,0.7147284538076635,0.008855183354758633,0.766302999122101,0.6393938823750144,0.34866640732476584,4.573191093143664
