year,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder
2010,9.30043762046974,0.8163302605385547,62.33762215567636,0.7160225685659822,0.0006692538040338536,0.7606367971096839,0.6481886105937558,0.2416164152376301,5.427882036129078
2011,9.324183023892916,0.8106334351159475,62.51244753057306,0.7383780031354277,-0.01681050956530098,0.7582095729616972,0.6407583578900024,0.2468751221113688,5.4658710898219285
2012,9.344988191044415,0.8058814941655784,62.76545437010296,0.7158763564272083,-0.014210743964001163,0.7639716389070162,0.6410631695480058,0.2585440425762346,5.417131296404592
2013,9.365007397845075,0.8044204582284381,63.026541753026436,0.7328851777217883,-0.010501605274246902,0.7591104683029902,0.656167350504504,0.26804629479359077,5.406080453601472
2014,9.382455723769182,0.8084764753118817,63.29182512954676,0.7408817540098737,0.012275942632714667,0.7460273051143804,0.6579061097823656,0.26847697923129255,5.424144884200641
2015,9.390065917657529,0.8020725116307363,63.55914205982413,0.7514900746740105,0.01051014641262939,0.746843078579658,0.660218800795384,0.2751994532860798,5.404128565543737
2016,9.400617145880675,0.8169819351815399,63.76083012471944,0.7663198265023442,-0.0039027634703897134,0.7561869393504445,0.6586075701774694,0.28360423642299665,5.419842293434765
2017,9.412359043156906,0.8093410211426395,63.962010661483085,0.7813930414217614,-0.011805836106286894,0.73492420063569,0.6487937925995647,0.2883820818750174,5.500408667506594
2018,9.435985398459268,0.8168554858727888,64.16293682285122,0.7885731732928669,-0.032116241364382035,0.7423599393530325,0.6537537934480013,0.29122404215427544,5.547885339243429
2019,9.449129414725137,0.8153730883881762,64.36153843752987,0.7949568492132466,-0.02625649337936843,0.730335951612129,0.6528375941139835,0.2881794685041988,5.57487586761688
2020,9.434796397224728,0.8050830538803604,64.5555942090797,0.7960795125136009,-0.0067193619426723005,0.7264777489631743,0.6569675602869831,0.30807451668319163,5.546806493950335
2021,9.47683116828367,0.7955106899315938,64.74965068310291,0.7816291882302655,0.03338264761371038,0.7271596733715151,0.650008287824395,0.29614208812688614,5.511488542745719
2022,9.523702110166038,0.7979361428455873,64.94370634350187,0.7854922481905886,0.03144582780729328,0.7269103785494825,0.6496803253750145,0.29365322092821544,5.512981143864718
2023,9.50539748651998,0.7907836631044641,65.1370626329542,0.7875148745683523,0.028645057114772506,0.719970042576323,0.6498270409924167,0.2928941360824591,5.598380017113852
