Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder Category,country_geo
Bosnia and Herzegovina,2007,4.899806976318359,9.190536499023438,0.7656038403511047,67.0,0.3415656685829162,0.0058830906637012,0.9261249899864196,0.5701780319213867,0.2964658141136169,Low,Bosnia & Herzegovina
Bosnia and Herzegovina,2009,4.96347713470459,9.24604606628418,0.7352321743965149,67.0,0.2575338184833526,-0.0274836625903844,0.9587398767471312,0.5068556666374207,0.3902041018009186,Low,Bosnia & Herzegovina
Bosnia and Herzegovina,2010,4.668517589569092,9.272006034851074,0.7727537155151367,67.0,0.3649668991565704,-0.1305173635482788,0.9330300688743592,0.464506059885025,0.4092131853103637,Low,Bosnia & Herzegovina
Bosnia and Herzegovina,2011,4.994670867919922,9.299545288085938,0.7252428531646729,67.0,0.3333120942115783,-0.0377515815198421,0.9247843623161316,0.5510550737380981,0.3257347047328949,Low,Bosnia & Herzegovina
Bosnia and Herzegovina,2012,4.773144721984863,9.30983543395996,0.7788598537445068,67.0,0.4197893142700195,-0.0158858317881822,0.953421950340271,0.4686013460159302,0.3382406830787658,Low,Bosnia & Herzegovina
Bosnia and Herzegovina,2013,5.123664379119873,9.348645210266112,0.7668277621269226,67.0,0.390341579914093,0.0386559776961803,0.9698362350463868,0.4893005788326263,0.3145160377025604,Medium,Bosnia & Herzegovina
Bosnia and Herzegovina,2014,5.2489542961120605,9.373052597045898,0.7876517176628113,67.0,0.4119373857975006,0.2289367914199829,0.9763396382331848,0.4908346831798553,0.2621752023696899,Medium,Bosnia & Herzegovina
Bosnia and Herzegovina,2015,5.117177963256836,9.428470611572266,0.6557236313819885,67.0,0.630698025226593,-0.0581866167485713,0.9598536491394044,0.485843688249588,0.2862341403961181,Medium,Bosnia & Herzegovina
Bosnia and Herzegovina,2016,5.180865287780762,9.472752571105955,0.8077051043510437,67.05000305175781,0.6334537267684937,0.1301902532577514,0.957311987876892,0.5659803748130798,0.3040802776813507,Medium,Bosnia & Herzegovina
Bosnia and Herzegovina,2017,5.089902400970459,9.51651382446289,0.7752952575683594,67.0999984741211,0.5637986660003662,0.0872029736638069,0.923343062400818,0.5266396403312683,0.2707455158233642,Medium,Bosnia & Herzegovina
Bosnia and Herzegovina,2018,5.887401103973389,9.565740585327148,0.8358895778656006,67.1500015258789,0.6588464379310608,0.1183488443493843,0.9128577709197998,0.5676940679550171,0.2773650586605072,Medium,Bosnia & Herzegovina
Bosnia and Herzegovina,2019,6.015522480010986,9.60586643218994,0.8731419444084167,67.19999694824219,0.7215632200241089,0.0738852098584175,0.9629080295562744,0.5446664094924927,0.238068550825119,Medium,Bosnia & Herzegovina
Bosnia and Herzegovina,2020,5.51581621170044,9.587919235229492,0.8985186815261841,67.25,0.740250825881958,0.1319495290517807,0.9160521626472472,0.6018709540367126,0.3254123032093048,Medium,Bosnia & Herzegovina
Bosnia and Herzegovina,2021,5.748823165893555,9.67363739013672,0.8599535822868347,67.30000305175781,0.7589792013168335,0.2737639248371124,0.9209139347076416,0.6040925979614258,0.3053521513938904,Medium,Bosnia & Herzegovina
Bosnia and Herzegovina,2022,5.8720550537109375,9.723370552062988,0.8559615015983582,67.3499984741211,0.7426527738571167,0.1905952543020248,0.9334768652915956,0.5425434708595276,0.2853967845439911,Medium,Bosnia & Herzegovina
Bosnia and Herzegovina,2023,6.008581161499023,9.759161949157717,0.8787869215011597,67.4000015258789,0.8472372889518738,0.2408037930727005,0.9476993680000304,0.5785500407218933,0.2487222701311111,Medium,Bosnia & Herzegovina
