Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder Category,country_geo
Netherlands,2005,7.463979244232178,10.809069633483888,0.9473579525947572,70.69999694824219,0.9010077714920044,-0.02161329798400395,0.5713422298431396,0.7007394433021545,0.2327947169542312,High,Netherlands
Netherlands,2007,7.451879501342773,10.876346588134766,0.9438540935516356,70.77999877929688,0.8960180878639221,0.3386073410511017,0.4454365670681,0.7180503010749817,0.2133356034755706,High,Netherlands
Netherlands,2008,7.631011962890625,10.893925666809082,0.9442022442817688,70.81999969482422,0.883287250995636,0.3594550192356109,0.4189404845237732,0.6791508197784424,0.1816904246807098,High,Netherlands
Netherlands,2010,7.501875877380371,10.859633445739746,0.9565368890762328,70.9000015258789,0.9214482307434082,0.3436114192008972,0.3985918462276459,0.745190441608429,0.2060793042182922,High,Netherlands
Netherlands,2011,7.563797950744629,10.870361328125,0.9383960962295532,70.94000244140625,0.9254315495491028,0.3299305737018585,0.3593958914279938,0.7704574465751648,0.181386187672615,High,Netherlands
Netherlands,2012,7.470715522766113,10.856304168701172,0.9388846755027772,70.9800033569336,0.8771186470985413,0.2823862731456756,0.4337537884712219,0.7528684139251709,0.2262898683547973,High,Netherlands
Netherlands,2013,7.406550407409668,10.85205364227295,0.924705445766449,71.0199966430664,0.9189958572387696,0.2987975776195526,0.5045299530029297,0.7646982669830322,0.2354432195425033,High,Netherlands
Netherlands,2014,7.321188449859619,10.862588882446287,0.9089957475662231,71.05999755859375,0.910179615020752,0.3255757391452789,0.4569483697414398,0.7756128907203674,0.2206565290689468,High,Netherlands
Netherlands,2015,7.324437141418457,10.877558708190918,0.8790104389190674,71.0999984741211,0.9039787650108336,0.2557072341442108,0.411822110414505,0.7423878312110901,0.2021286338567733,High,Netherlands
Netherlands,2016,7.540877342224121,10.893917083740234,0.925944209098816,71.17500305175781,0.9073100090026855,0.2329194992780685,0.4333042502403259,0.7370073795318604,0.2148507386445999,High,Netherlands
Netherlands,2017,7.458965301513672,10.916698455810549,0.9365013241767884,71.25,0.9203197360038756,0.2446882426738739,0.3631336390972137,0.7291611433029175,0.1845198422670364,High,Netherlands
Netherlands,2018,7.463097095489502,10.934194564819336,0.9394431710243224,71.32499694824219,0.9199851751327516,0.1558962762355804,0.3705577850341797,0.747976541519165,0.2047941833734512,High,Netherlands
Netherlands,2019,7.425268650054932,10.94701099395752,0.9414774775505066,71.4000015258789,0.885592520236969,0.2068854719400406,0.3600681126117706,0.7281644344329834,0.2305022776126861,High,Netherlands
Netherlands,2020,7.504447937011719,10.901819229125977,0.9439561367034912,71.4749984741211,0.9345226287841796,0.145121544599533,0.2806045114994049,0.6906580924987793,0.2465113252401352,High,Netherlands
Netherlands,2021,7.314151287078857,10.94407081604004,0.9187594056129456,71.55000305175781,0.8562934398651123,0.2656292915344238,0.3965728878974914,0.7143533229827881,0.2011591643095016,High,Netherlands
Netherlands,2022,7.389636039733887,10.978227615356444,0.9289084076881408,71.625,0.8680934906005859,0.2228952348232269,0.4593518078327179,0.7111276388168335,0.1980025917291641,High,Netherlands
Netherlands,2023,7.254793643951416,10.97706413269043,0.9149224758148192,71.69999694824219,0.8472867012023926,0.2225408405065536,0.4239082634449005,0.6927058696746826,0.2016946226358413,High,Netherlands
