Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder Category,country_geo
Luxembourg,2009,6.957920074462891,11.62830638885498,0.938559353351593,70.30000305175781,0.9391016960144044,0.115967147052288,0.4316069781780243,0.7134103178977966,0.2380215227603912,Medium,Luxembourg
Luxembourg,2010,7.097251892089844,11.646966934204102,0.9523717164993286,70.5,0.9083030819892884,0.085595391690731,0.4233413338661194,0.7177432775497437,0.2160643935203552,High,Luxembourg
Luxembourg,2011,7.101400375366211,11.63512897491455,0.9340906143188475,70.69999694824219,0.961830735206604,0.0966670513153076,0.3881705999374389,0.7436986565589905,0.2001366168260574,High,Luxembourg
Luxembourg,2012,6.964097023010254,11.627477645874023,0.9139077067375184,70.9000015258789,0.9165209531784058,0.0480485893785953,0.4027532041072845,0.7255998253822327,0.2274117171764373,Medium,Luxembourg
Luxembourg,2013,7.130809307098389,11.635591506958008,0.9166832566261292,71.0999984741211,0.7896554470062256,-0.0645351260900497,0.300811767578125,0.6007605195045471,0.1847999840974807,High,Luxembourg
Luxembourg,2014,6.891127109527588,11.637914657592772,0.875469446182251,71.30000305175781,0.9379876852035522,0.0967148467898368,0.3662867844104767,0.7602542638778687,0.1704093962907791,Medium,Luxembourg
Luxembourg,2015,6.701571464538574,11.636758804321287,0.9336045980453492,71.5,0.9322564005851746,0.0443707033991813,0.3753904700279236,0.7278779149055481,0.1930503398180008,Medium,Luxembourg
Luxembourg,2016,6.96734094619751,11.663787841796877,0.941260576248169,71.5250015258789,0.882365345954895,0.0106854923069477,0.3563363254070282,0.7064987421035767,0.1923007071018219,Medium,Luxembourg
Luxembourg,2017,7.061380863189697,11.65256404876709,0.9054355025291444,71.55000305175781,0.902821719646454,0.0364344269037246,0.3301735818386078,0.7257317900657654,0.184467002749443,High,Luxembourg
Luxembourg,2018,7.242630958557129,11.645395278930664,0.9021924138069152,71.57499694824219,0.8839298486709595,-0.028108088299632,0.3851461112499237,0.7146942615509033,0.2018943428993225,High,Luxembourg
Luxembourg,2019,7.40401554107666,11.648701667785645,0.9121045470237732,71.5999984741211,0.930321216583252,-0.051407802850008,0.3895984292030334,0.7417380809783936,0.2116398066282272,High,Luxembourg
Luxembourg,2022,7.227934837341309,11.657387733459473,0.8779169917106628,71.67500305175781,0.915109932422638,0.022855918854475,0.3451764583587646,0.7184504270553589,0.2180835753679275,High,Luxembourg
Luxembourg,2023,7.016062259674072,11.648711204528809,0.8791953325271606,71.69999694824219,0.9108132719993592,0.0334397703409194,0.3432107865810394,0.7507004737854004,0.1944953054189682,High,Luxembourg
