Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder Category,country_geo
Singapore,2006,6.462702751159668,11.167978286743164,0.9043288826942444,71.58000183105469,0.7568735480308533,0.1320583969354629,0.7984966337680817,0.6889829635620117,0.2667207717895508,Medium,Singapore
Singapore,2007,6.833754539489746,11.21269416809082,0.9206320643424988,71.76000213623047,0.8668922781944275,0.2870926856994629,0.0636148825287818,0.5876737236976624,0.1144065856933593,Medium,Singapore
Singapore,2008,6.641956806182861,11.17794132232666,0.8452585935592651,71.94000244140625,0.6606590151786804,0.0395279824733734,0.0657752752304077,0.6266040802001953,0.2560867071151733,Medium,Singapore
Singapore,2009,6.144676685333252,11.14906120300293,0.8662552833557129,72.12000274658203,0.7763818502426147,-0.0811173766851425,0.0351979881525039,0.4500215947628021,0.2075482904911041,Medium,Singapore
Singapore,2010,6.531401634216309,11.26692008972168,0.8641621470451355,72.30000305175781,0.8461846113204956,-0.0242273434996604,0.0602820664644241,0.5273370146751404,0.1313434392213821,Medium,Singapore
Singapore,2011,6.561041831970215,11.30636501312256,0.9044739007949828,72.4800033569336,0.8218163251876831,-0.1548270285129547,0.0989244505763053,0.4036992490291595,0.1436289250850677,Medium,Singapore
Singapore,2013,6.533206939697266,11.35608959197998,0.8079105615615845,72.83999633789062,0.827102541923523,0.1088114008307457,0.242398053407669,0.6628531217575073,0.147687554359436,Medium,Singapore
Singapore,2014,7.06236457824707,11.381706237792969,0.8220330476760864,73.0199966430664,0.8348876237869263,0.14793661236763,0.1326031535863876,0.7742401957511902,0.1802327632904052,High,Singapore
Singapore,2015,6.619524955749512,11.399175643920898,0.8664366602897644,73.19999694824219,0.8868908882141113,0.1435292661190033,0.0989438816905021,0.7361935377120972,0.1415851712226867,Medium,Singapore
Singapore,2016,6.033480644226074,11.421584129333496,0.9251282215118408,73.30000305175781,0.9037356376647948,0.1365124881267547,0.0473111532628536,0.7453868985176086,0.110942468047142,Medium,Singapore
Singapore,2017,6.3784379959106445,11.465143203735352,0.8973498940467834,73.4000015258789,0.9261278510093688,0.1290309876203537,0.1617906838655471,0.7498744130134583,0.1793245524168014,Medium,Singapore
Singapore,2018,6.374564170837402,11.495575904846191,0.9028406739234924,73.5,0.9160782098770142,-0.0725104659795761,0.0965629294514656,0.7310570478439331,0.1068707779049873,Medium,Singapore
Singapore,2019,6.378359794616699,11.497358322143556,0.9249183535575868,73.5999984741211,0.9380417466163636,0.0201519876718521,0.0696196034550666,0.674223005771637,0.1380691528320312,Medium,Singapore
Singapore,2021,6.586717128753662,11.587486267089844,0.8764089941978455,73.80000305175781,0.8787010908126831,0.0602679774165153,0.1449353843927383,0.6969901919364929,0.1598022282123565,Medium,Singapore
Singapore,2022,6.333045959472656,11.59022045135498,0.8519465923309326,73.9000015258789,0.8732906579971313,0.0884381383657455,0.7984966337680817,0.6875272393226624,0.2089835107326507,Medium,Singapore
Singapore,2023,6.653942108154297,9.50294589996338,0.9163257479667664,74.0,0.8612334132194519,-0.02161329798400395,0.1525430530309677,0.6671569347381592,0.1904855072498321,Medium,Singapore
