Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder Category,country_geo
Morocco,2010,4.383247375488281,8.821134567260742,0.8343945443630219,62.5,0.6629003882408142,-0.1731679886579513,0.9004530906677246,0.6634199619293213,0.2621752023696899,Low,Morocco
Morocco,2011,5.084972858428955,8.861169815063477,0.8333852887153625,62.65999984741211,0.5789307355880737,-0.2291215807199478,0.8752248287200928,0.6873216032981873,0.1871487498283386,Medium,Morocco
Morocco,2012,4.969656467437744,8.87747573852539,0.6758249402046204,62.81999969482422,0.7567846179008484,-0.1977528780698776,0.8449347615242004,0.6409162282943726,0.2813359797000885,Low,Morocco
Morocco,2013,5.142160415649414,8.904114723205566,0.5971657037734985,62.97999954223633,0.5716299414634705,-0.2212091833353042,0.7711122035980225,0.7071461081504822,0.2394092679023742,Medium,Morocco
Morocco,2015,5.163156986236572,8.947375297546387,0.6059176325798035,63.29999923706055,0.7129334211349487,-0.2385527342557907,0.8418569564819336,0.596332311630249,0.2618037164211273,Medium,Morocco
Morocco,2016,5.386307239532471,8.940129280090332,0.6554093360900879,63.400001525878906,0.8165560960769653,-0.2480230927467346,0.7173561453819275,0.6581355333328247,0.2054131478071212,Medium,Morocco
Morocco,2017,5.312482833862305,8.977351188659668,0.6411930918693542,63.5,0.8142580389976501,-0.2270316332578659,0.8405024409294128,0.5006090402603149,0.3227159082889557,Medium,Morocco
Morocco,2018,4.896791934967041,8.996167182922363,0.553759753704071,63.59999847412109,0.7731804251670837,-0.2457125633955001,0.8431727290153503,0.574673593044281,0.4159815609455108,Low,Morocco
Morocco,2019,5.056751728057861,9.014033317565918,0.5348040461540222,63.70000076293945,0.756747841835022,-0.2561972141265869,0.7568674087524414,0.5348886251449585,0.409911572933197,Medium,Morocco
Morocco,2020,4.80261754989624,8.92877197265625,0.5525200963020325,63.79999923706055,0.8189952373504639,-0.2381822168827057,0.8027402758598328,0.5481240749359131,0.2564311921596527,Low,Morocco
Morocco,2021,5.326248645782471,8.99446964263916,0.5045639276504517,63.900001525878906,0.7618064880371094,-0.2043333500623703,0.8173668384552002,0.5544959306716919,0.3408483266830444,Medium,Morocco
Morocco,2022,4.59609317779541,8.994856834411621,0.5635776519775391,64.0,0.7947052121162415,-0.2567450702190399,0.8021376729011536,0.5728694200515747,0.4142164587974548,Low,Morocco
Morocco,2023,4.486514091491699,9.0094633102417,0.4995186030864715,64.0999984741211,0.8208004832267761,-0.0937033295631408,0.831204354763031,0.5487037301063538,0.4150283634662628,Low,Morocco
