Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder Category,country_geo
State of Palestine,2006,4.716387748718262,8.201192855834961,0.8179454207420349,65.0999984741211,0.5465064644813538,-0.02161329798400395,0.8578239679336548,0.4915361106395721,0.4305796027183532,Low,West Bank
State of Palestine,2007,4.1510539054870605,8.180532455444336,0.7118186354637146,65.0999984741211,0.3652961552143097,-0.0828360319137573,0.8441804051399231,0.5152422785758972,0.4123278856277466,Low,West Bank
State of Palestine,2008,4.385603427886963,8.275285720825195,0.6659107208251953,65.0999984741211,0.3577565252780914,-0.0751813426613807,0.7532130479812622,0.5129868984222412,0.4032825529575348,Low,West Bank
State of Palestine,2009,4.470191478729248,8.3366117477417,0.7380766868591309,65.0999984741211,0.4678119421005249,-0.0912122651934623,0.7973542213439941,0.4737675189971924,0.4664282500743866,Low,West Bank
State of Palestine,2010,4.702603816986084,8.362595558166504,0.821746289730072,65.0999984741211,0.5042622685432434,-0.1210874915122985,0.7524146437644958,0.5525127649307251,0.3814900517463684,Low,West Bank
State of Palestine,2011,4.751219749450684,8.451590538024902,0.7508322596549988,65.0999984741211,0.5218892693519592,-0.1307514160871505,0.7502076029777527,0.4990742802619934,0.3876512348651886,Low,West Bank
State of Palestine,2012,4.646608352661133,8.598371505737305,0.7821691036224365,65.0999984741211,0.5415828824043274,-0.1634781807661056,0.730194091796875,0.5597333312034607,0.3785038292407989,Low,West Bank
State of Palestine,2013,4.844027996063232,8.594526290893555,0.760899543762207,65.0999984741211,0.4539033770561218,-0.1630517840385437,0.7796457409858704,0.5367389917373657,0.3652757406234741,Low,West Bank
State of Palestine,2014,4.721938133239746,8.618412017822266,0.7750867009162903,65.0999984741211,0.657049834728241,-0.163481593132019,0.8041654229164124,0.5046320557594299,0.380452424287796,Low,West Bank
State of Palestine,2015,4.695239067077637,8.683147430419922,0.7661012411117554,65.0999984741211,0.5560409426689148,-0.1727104783058166,0.7743013501167297,0.5364471673965454,0.369084894657135,Low,West Bank
State of Palestine,2016,4.906618118286133,8.737954139709473,0.8177709579467773,65.0999984741211,0.6076694130897522,-0.1514524817466735,0.8124646544456482,0.5437760949134827,0.3776417970657348,Low,West Bank
State of Palestine,2017,4.6281328201293945,8.733620643615723,0.8243451118469238,65.0999984741211,0.6316112875938416,-0.1857153922319412,0.8306463360786438,0.5339183211326599,0.4160720407962799,Low,West Bank
State of Palestine,2018,4.553921699523926,8.717741012573242,0.8194792866706848,65.0999984741211,0.6545345187187195,-0.1627649813890457,0.8137795329093933,0.5283923149108887,0.4189285337924957,Low,West Bank
State of Palestine,2019,4.482537269592285,8.716377258300781,0.832550048828125,65.0999984741211,0.653488278388977,-0.1352318972349167,0.8292827606201172,0.5380727648735046,0.3996722996234894,Low,West Bank
State of Palestine,2022,4.907760143280029,9.50294589996338,0.8596547245979309,65.0999984741211,0.6948527097702026,-0.02161329798400395,0.8357949256896973,0.5841108560562134,0.3617757260799408,Low,West Bank
State of Palestine,2023,4.851185321807861,9.50294589996338,0.831444501876831,65.0999984741211,0.7077621221542358,-0.02161329798400395,0.8081274032592773,0.5796462893486023,0.3782921731472015,Low,West Bank
