country_geo,year,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder,Life Ladder Category,region
Afghanistan,2018,7.630800724029541,0.5075158476829529,53.57500076293945,0.373535543680191,-0.0945523902773857,0.92760568857193,0.3845614790916443,0.4049043953418731,2.694303274154663,Low,Asia
Albania,2018,9.49680519104004,0.6835916638374329,69.07499694824219,0.8242123126983643,0.0047685811296105,0.8991293907165527,0.5920446515083313,0.3189967274665832,5.0044026374816895,Medium,Europe
Algeria,2018,9.369553565979004,0.7986513376235962,66.30000305175781,0.5833805799484253,-0.1530694812536239,0.7587041258811951,0.533724844455719,0.2929455637931824,5.043086051940918,Medium,Africa
Argentina,2018,10.032198905944824,0.8999115824699402,67.05000305175781,0.8458946943283081,-0.216326355934143,0.8552552461624146,0.7320699095726013,0.3205020725727081,5.792796611785889,Medium,The Americas
Armenia,2018,9.490350723266602,0.8144490122795105,66.82499694824219,0.8076436519622803,-0.1710782647132873,0.6768263578414917,0.5354028344154358,0.4548402726650238,5.062448501586914,Medium,Asia
Australia,2018,10.800652503967283,0.940137267112732,70.82499694824219,0.9160281419754028,0.1411612778902053,0.4046474993228912,0.7059827446937561,0.1874563694000244,7.176993370056152,High,Oceania
Austria,2018,10.919031143188477,0.9116681218147278,70.7750015258789,0.9041119813919068,0.0479868464171886,0.5230605602264404,0.6946277022361755,0.2260587960481643,7.396001815795898,High,Europe
Azerbaijan,2018,9.56167221069336,0.7812299132347107,63.47499847412109,0.772449254989624,-0.2372829616069793,0.5612062811851501,0.5270726680755615,0.1913916617631912,5.167995452880859,Medium,Asia
Bahrain,2018,10.806641101837158,0.8768382966518402,65.97500228881836,0.9061970114707947,0.08151180483400819,0.7984966337680817,0.7328596413135529,0.30343295633792877,6.66266655921936,High,Asia
Bangladesh,2018,8.541788101196289,0.7055560350418091,64.17500305175781,0.9014708399772644,-0.0589018277823925,0.7014212012290955,0.4329648911952972,0.3612377941608429,4.499217033386231,Low,Asia
Belarus,2018,9.85086441040039,0.9045692682266236,65.7750015258789,0.6436023712158203,-0.1805819272994995,0.7184554934501648,0.4088835716247558,0.2357286214828491,5.23376989364624,Medium,Europe
Belgium,2018,10.841803550720217,0.9298155307769777,70.44999694824219,0.8083866238594055,-0.1304793059825897,0.6304118037223816,0.6817125678062439,0.250297337770462,6.892171859741211,High,Europe
Benin,2018,8.019667625427246,0.5035440325737,55.20000076293945,0.7132640480995178,-0.0002698935277294,0.7465107440948486,0.6253089308738708,0.4678718149662018,5.819827079772949,Medium,Africa
Bolivia,2018,9.043848037719728,0.8271594643592834,63.150001525878906,0.8632468581199646,-0.0968099012970924,0.7860445976257324,0.705477774143219,0.3874688744544983,5.91573429107666,Medium,The Americas
Bosnia and Herzegovina,2018,9.565740585327148,0.8358895778656006,67.1500015258789,0.6588464379310608,0.1183488443493843,0.9128577709197998,0.5676940679550171,0.2773650586605072,5.887401103973389,Medium,Europe
Botswana,2018,9.613274574279783,0.7949360013008118,53.625,0.817621111869812,-0.2481058537960052,0.8069454431533813,0.6879932880401611,0.2670837044715881,3.4613656997680664,Low,Africa
Brazil,2018,9.590117454528809,0.8815052509307861,65.2249984741211,0.7506090402603149,-0.1227947697043418,0.7632513046264648,0.676684558391571,0.3496562540531158,6.190921783447266,Medium,The Americas
Bulgaria,2018,10.00812530517578,0.9238532781600952,66.19999694824219,0.7243359088897705,-0.1820641607046127,0.9520144462585448,0.5539103150367737,0.1890909820795059,5.098813533782959,Medium,Europe
Burkina Faso,2018,7.626189231872559,0.6648594737052917,54.525001525878906,0.7207434773445129,-0.01550736092031,0.7573986053466797,0.6561220288276672,0.342865526676178,4.927236080169678,Low,Africa
Cambodia,2018,8.347026824951172,0.7946053743362427,61.29999923706055,0.9583048224449158,0.0292820204049348,0.7984966337680817,0.7233442068099976,0.4143458008766174,5.121837615966797,Medium,Asia
Cameroon,2018,8.224833488464355,0.676825225353241,53.82500076293945,0.8163049817085266,0.0278344172984361,0.884441614151001,0.6296641826629639,0.3556424081325531,5.25073766708374,Medium,Africa
Canada,2018,10.798810005187988,0.9227187633514404,71.25,0.9457828998565674,0.0999917462468147,0.371740847826004,0.772559404373169,0.2593976557254791,7.175496578216553,High,The Americas
