country_geo,year,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Life Ladder,Life Ladder Category,region
Afghanistan,2016,7.650369644165039,0.5590717792510986,52.92499923706055,0.5225661993026733,0.0404801443219184,0.7932455539703369,0.5014087557792664,0.3483322858810425,4.220168590545654,Low,Asia
Albania,2016,9.416690826416016,0.6384114623069763,69.0250015258789,0.7298189401626587,-0.0211359020322561,0.901070773601532,0.5670797228813171,0.3217059969902038,4.511100769042969,Low,Europe
Algeria,2016,9.383312225341797,0.7485882639884949,66.0999984741211,0.7711215615272522,-0.0216132979840039,0.7984966337680817,0.5650259256362915,0.3771119713783264,5.340853691101074,Medium,Africa
Argentina,2016,10.051456451416016,0.8828191161155701,66.94999694824219,0.8477022051811218,-0.1975760757923126,0.8509244918823242,0.7317351698875427,0.3116464614868164,6.427221298217773,Medium,The Americas
Armenia,2016,9.357068061828612,0.7092183232307434,66.2750015258789,0.6109869480133057,-0.1777603477239608,0.9214210510253906,0.5159894227981567,0.4372278153896332,4.325471878051758,Low,Asia
Australia,2016,10.78122901916504,0.942334234714508,70.67500305175781,0.9223157167434692,0.2332163602113723,0.3985451161861419,0.7358955144882202,0.2360857874155044,7.250080108642578,High,Oceania
Austria,2016,10.884549140930176,0.92631858587265,70.5250015258789,0.88851398229599,0.0741286501288414,0.5236409902572632,0.7134508490562439,0.1974238455295562,7.04807186126709,High,Europe
Azerbaijan,2016,9.563261985778809,0.777271032333374,63.22499847412109,0.7125731706619263,-0.2097998857498169,0.6067708134651184,0.5088365077972412,0.1911171972751617,5.303894996643066,Medium,Asia
Bahrain,2016,10.789036750793455,0.8627001047134399,66.125,0.8886910676956177,0.0815555229783058,0.7984966337680817,0.7362198829650879,0.2834663391113281,6.169673442840576,Medium,Asia
Bangladesh,2016,8.431437492370605,0.6491169333457947,63.92499923706055,0.8747004866600037,-0.1052959486842155,0.6878536343574524,0.4366278946399688,0.2350224554538726,4.556140899658203,Low,Asia
Belarus,2016,9.791616439819336,0.926551103591919,65.32499694824219,0.6582288146018982,-0.1314703077077865,0.6640551686286926,0.5026974081993103,0.1821061223745346,5.177899360656738,Medium,Europe
Belgium,2016,10.816370964050291,0.9289640784263612,70.1500015258789,0.865759015083313,-0.0616822503507137,0.4966591000556946,0.7010933756828308,0.2596533894538879,6.948936462402344,High,Europe
Benin,2016,7.958364009857178,0.4928158521652221,54.59999847412109,0.779795229434967,-0.0677455961704254,0.837715744972229,0.5782063007354736,0.4557676017284393,4.007357597351074,Low,Africa
Bolivia,2016,8.991458892822266,0.7959587574005127,62.84999847412109,0.8817487359046936,-0.0507638938724994,0.852592945098877,0.7357291579246521,0.3764122426509857,5.769723415374756,Medium,The Americas
Bosnia and Herzegovina,2016,9.472752571105955,0.8077051043510437,67.05000305175781,0.6334537267684937,0.1301902532577514,0.957311987876892,0.5659803748130798,0.3040802776813507,5.180865287780762,Medium,Europe
Botswana,2016,9.573143005371094,0.7683027982711792,53.07500076293945,0.8516948819160461,-0.2459289282560348,0.7291718125343323,0.6570554971694946,0.2518365979194641,3.498936653137207,Low,Africa
Brazil,2016,9.575156211853027,0.912455141544342,64.875,0.8065715432167053,-0.1057728230953216,0.7810927629470825,0.7112862467765808,0.302083820104599,6.374817371368408,Medium,The Americas
Bulgaria,2016,9.939859390258787,0.9260360598564148,66.0,0.7002655267715454,-0.1768510788679123,0.935988187789917,0.5445662140846252,0.1716998517513275,4.837560653686523,Low,Europe
Burkina Faso,2016,7.558389663696289,0.7644011378288269,53.775001525878906,0.6446815133094788,-0.0028794971294701,0.7205424308776855,0.5900866389274597,0.337300181388855,4.205634593963623,Low,Africa
Cambodia,2016,8.232682228088379,0.7459012269973755,60.900001525878906,0.957821488380432,0.0702666938304901,0.8404168486595154,0.712588369846344,0.3982003033161163,4.461259365081787,Low,Asia
Cameroon,2016,8.2072172164917,0.6592997908592224,52.47499847412109,0.7125070095062256,-0.0115760620683431,0.8794505596160889,0.6346314549446106,0.3670933842658996,4.816232204437256,Low,Africa
Canada,2016,10.76759147644043,0.9243925213813782,71.1500015258789,0.9124239087104796,0.2054930329322815,0.3850904405117035,0.767764687538147,0.2374228686094284,7.244845867156982,High,The Americas
Chad,2016,7.428617477416992,0.6162048578262329,50.875,0.52522212266922,0.0471898466348648,0.8197888731956482,0.5635271668434143,0.4675667583942413,4.029350280761719,Low,Africa
Chile,2016,10.11047649383545,0.8413881659507751,69.55000305175781,0.6522897481918335,0.0940105393528938,0.8581249713897705,0.7917251586914062,0.2830421030521393,6.579056262969971,High,The Americas
China,2016,9.50294589996338,0.7417030334472656,68.125,0.7711215615272522,-0.2327021807432174,0.7984966337680817,0.6832559108734131,0.1456251591444015,5.324955940246582,Medium,Asia
Colombia,2016,9.572073936462402,0.8819003701210022,68.4749984741211,0.8349661231040955,-0.1061130911111831,0.8975538611412048,0.7704694271087646,0.2942227721214294,6.233715057373047,Medium,The Americas
Comoros,2016,8.081426938374838,0.65394127368927,58.3099988301595,0.5514685312906901,0.0070006996393203735,0.7461753090222677,0.6643345355987549,0.295610378185908,3.967093149820964,Low,Africa
Costa Rica,2016,9.880914688110352,0.9007012844085693,70.0,0.8729719519615173,-0.0418100655078887,0.7805620431900024,0.83001309633255,0.2814222872257232,7.135617733001709,High,The Americas
Croatia,2016,10.16566562652588,0.798332154750824,68.07499694824219,0.671970546245575,-0.071900650858879,0.8840597867965698,0.5689613819122314,0.3365412652492523,5.41687536239624,Medium,Europe
Cyprus,2016,10.509756088256836,0.7864384651184082,71.80000305175781,0.7562209963798523,-0.0364781469106674,0.8976395130157471,0.6310487985610962,0.3363446891307831,5.794618606567383,Medium,Asia
Czech Republic,2016,10.51907730102539,0.9305928945541382,68.42500305175781,0.850328266620636,-0.2035031020641327,0.9004307389259338,0.7102274894714355,0.2010416388511657,6.735627174377441,High,Europe
Democratic Republic of the Congo,2016,6.928858280181885,0.8641545176506042,52.82500076293945,0.6373667120933533,-0.0269014872610569,0.8749996423721313,0.6102307438850403,0.2224114835262298,4.52193546295166,Low,Africa
Denmark,2016,10.90015983581543,0.9544515013694764,70.625,0.9482305645942688,0.1318957358598709,0.2098933756351471,0.7860076427459717,0.2075834274291992,7.557782649993896,High,Europe
Dominican Republic,2016,9.678292274475098,0.8947534561157227,63.400001525878906,0.8727124333381653,-0.0849553421139717,0.7371829748153687,0.7252313494682312,0.2780951261520386,5.238698482513428,Medium,The Americas
Ecuador,2016,9.357709884643556,0.8423520922660828,67.75,0.846336305141449,-0.0210621729493141,0.7740841507911682,0.8068519234657288,0.3652465939521789,6.1154375076293945,Medium,The Americas
Egypt,2016,9.28413200378418,0.8092185854911804,62.25,0.6558452248573303,-0.1468276083469391,0.8175274133682251,0.5379222631454468,0.3704982101917267,4.556740760803223,Low,Africa
El Salvador,2016,9.041951179504396,0.7936599850654602,63.84999847412109,0.7998470067977905,-0.1915902495384216,0.7973120212554932,0.7424082159996033,0.3457364737987518,6.139824867248535,Medium,The Americas
England,2016,10.721307754516602,0.9540681838989258,69.80000305175781,0.8211921453475952,0.2444659918546676,0.4583132863044739,0.7324212193489075,0.2295867800712585,6.824283599853516,High,Europe
Estonia,2016,10.373770713806152,0.9377151131629944,68.5250015258789,0.8427706956863403,-0.1549419313669204,0.6390852928161621,0.6568225622177124,0.1768692582845688,5.649675369262695,Medium,Europe
